company,Cresco Labs Inc.
symbol,CRLBF
month,5
day,29
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267194-cresco-labs-inc-crlbf-ceo-charlie-bachtell-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cresco Labs Inc. (CRLBF) CEO Charlie Bachtell on Q1 2019 Results - Earnings Call Transcript</a>"
