company,American Superconductor's
symbol,AMSC
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268870-american-superconductors-amsc-ceo-daniel-mcgahn-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">American Superconductor's (AMSC) CEO Daniel McGahn on Q4 2018 Results - Earnings Call Transcript</a>"
