company,Coupa Software Incorporated's
symbol,COUP
month,6
day,3
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268098-coupa-software-incorporateds-coup-ceo-rob-bernshteyn-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Coupa Software Incorporated's (COUP) CEO Rob Bernshteyn on Q1 2020 Results - Earnings Call Transcript</a>"
