company,Investec Plc.
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222455-investec-plc-ivtjf-ceo-hendrik-du-toit-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Investec Plc. (IVTJF) CEO Hendrik du Toit on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,IVTJF
year,18
