company,"Burlington Stores, Inc."
symbol,BURL
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267428-burlington-stores-inc-burl-ceo-tom-kingsbury-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Burlington Stores, Inc. (BURL) CEO Tom Kingsbury on Q1 2019 Results - Earnings Call Transcript</a>"
