company,Natural Grocers
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222687-natural-grocers-ngvc-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Natural Grocers (NGVC) Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,NGVC
year,18
