company,Cognex Corporation
symbol,CGNX
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215644-cognex-corporation-cgnx-ceo-robert-willett-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cognex Corporation (CGNX) CEO Robert Willett on Q3 2018 Results - Earnings Call Transcript</a>"
