company,Atlassian Corp PLC
symbol,TEAM
link,"<a class=""dashboard-article-link"" href=""/article/4255095-atlassian-corp-plc-team-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Atlassian Corp PLC (TEAM) on Q3 2019 Results - Earnings Call Transcript</a>"
