company,"GenMark Diagnostics, Inc."
symbol,GNMK
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215633-genmark-diagnostics-inc-gnmk-ceo-hany-massarany-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">GenMark Diagnostics, Inc. (GNMK) CEO Hany Massarany on Q3 2018 Results - Earnings Call Transcript</a>"
