company,"Precipio, Inc."
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223393-precipio-inc-prpo-ceo-ilan-danieli-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Precipio, Inc. (PRPO) CEO Ilan Danieli On Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PRPO
year,18
