company,Lennar Corporation
symbol,LEN
month,6
day,25
year,19
quarter,Q2
link,"<a class=""dashboard-article-link"" href=""/article/4272064-lennar-corporation-len-ceo-rick-beckwitt-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lennar Corporation (LEN) CEO Rick Beckwitt on Q2 2019 Results - Earnings Call Transcript</a>"
