company,"Foot Locker, Inc."
symbol,FL
month,5
day,24
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266394-foot-locker-inc-fl-ceo-richard-johnson-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Foot Locker, Inc. (FL) CEO Richard Johnson on Q1 2019 Results - Earnings Call Transcript</a>"
