company,"Beyond Meat, Inc."
symbol,BYND
month,6
day,6
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268930-beyond-meat-inc-bynd-ceo-ethan-brown-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Beyond Meat, Inc. (BYND) CEO Ethan Brown on Q1 2019 Results - Earnings Call Transcript</a>"
