company,"58.com, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222720-58-com-inc-wuba-ceo-michael-yao-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">58.com, Inc. (WUBA) CEO Michael Yao on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,WUBA
year,18
