company,IHS Markit Ltd.
symbol,INFO
month,6
day,26
year,19
quarter,Q2
link,"<a class=""dashboard-article-link"" href=""/article/4272272-ihs-markit-ltd-info-ceo-lance-uggla-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">IHS Markit Ltd. (INFO) CEO Lance Uggla on Q2 2019 Results - Earnings Call Transcript</a>"
