company,QAD Inc.
symbol,QADA
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267172-qad-inc-qada-ceo-anton-chilton-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">QAD Inc. (QADA) CEO Anton Chilton on Q1 2020 Results - Earnings Call Transcript</a>"
