company,Teekay Tankers'
symbol,TNK
month,5
day,23
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266211-teekay-tankers-tnk-ceo-kevin-mackay-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Teekay Tankers' (TNK) CEO Kevin Mackay on Q1 2019 Results - Earnings Call Transcript</a>"
