company,"Helius Medical Technologies, Inc."
day,4
link,"<a class=""dashboard-article-link"" href=""/article/4222594-helius-medical-technologies-inc-hsdt-ceo-phil-deschamps-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Helius Medical Technologies, Inc. (HSDT) CEO Phil Deschamps on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,HSDT
year,18
