company,"NantHealth, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222774-nanthealth-inc-nh-ceo-patrick-soon-shiong-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NantHealth, Inc. (NH) CEO Patrick Soon-Shiong on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NH
year,18
