company,Globant S.A.
day,6
link,"<a class=""dashboard-article-link"" href=""/article/4222702-globant-s-glob-ceo-martin-migoya-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Globant S.A. (GLOB) CEO Martin Migoya on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,GLOB
year,18
