company,Wintrust Financial Corporation
symbol,WTFC
month,4
day,15
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254830-wintrust-financial-corporation-wtfc-ceo-edward-joseph-wehmer-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Wintrust Financial Corporation (WTFC) CEO Edward Joseph Wehmer on Q1 2019 Results - Earnings Call Transcript</a>"
