company,"HD Supply Holdings, Inc."
symbol,HDS
month,6
day,11
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269654-hd-supply-holdings-inc-hds-ceo-joe-deangelo-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">HD Supply Holdings, Inc. (HDS) CEO Joe DeAngelo on Q1 2019 Results - Earnings Call Transcript</a>"
