company,Kinder Morgan's
symbol,KMI
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255108-kinder-morgans-kmi-ceo-steve-kean-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Kinder Morgan's (KMI) CEO Steve Kean on Q1 2019 Results - Earnings Call Transcript</a>"
