company,"Hovnanian Enterprises, Inc."
symbol,HOV
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268871-hovnanian-enterprises-inc-hov-ceo-ara-hovnanian-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Hovnanian Enterprises, Inc. (HOV) CEO Ara Hovnanian on Q2 2019 Results - Earnings Call Transcript</a>"
