company,"Guardant Health, Inc."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4223374-guardant-health-inc-gh-ceo-helmy-eltoukhy-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Guardant Health, Inc. (GH) CEO Helmy Eltoukhy on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,GH
year,18
