company,"SANUWAVE Health, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222533-sanuwave-health-inc-snwv-ceo-kevin-richardson-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SANUWAVE Health, Inc. (SNWV) CEO Kevin Richardson on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SNWV
year,18
