company,"United Financial Bancorp, Inc."
symbol,UBNK
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255059-united-financial-bancorp-inc-ubnk-ceo-bill-crawford-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United Financial Bancorp, Inc. (UBNK) CEO Bill Crawford on Q1 2019 Results - Earnings Call Transcript</a>"
