company,Saputo Inc.
symbol,SAPIF
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268907-saputo-inc-sapif-ceo-lino-saputo-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Saputo Inc. (SAPIF) CEO Lino Saputo on Q4 2019 Results - Earnings Call Transcript</a>"
