company,Neptune Wellness Solutions Inc.
symbol,NEPT
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269997-neptune-wellness-solutions-inc-nept-ceo-jim-hamilton-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Neptune Wellness Solutions Inc. (NEPT) CEO Jim Hamilton on Q4 2019 Results - Earnings Call Transcript</a>"
