company,Raiffeisen Bank International's
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222328-raiffeisen-bank-internationals-raiff-ceo-johann-strobl-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Raiffeisen Bank International's (RAIFF) CEO Johann Strobl Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,RAIFF
year,18
