company,"Mondelez International, Inc."
symbol,MDLZ
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215663-mondelez-international-inc-mdlz-ceo-dirk-van-de-put-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Mondelez International, Inc. (MDLZ) CEO Dirk Van de Put on Q3 2018 Results - Earnings Call Transcript</a>"
