company,"Ameri Holdings, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222535-ameri-holdings-inc-amrh-ceo-brent-kelton-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ameri Holdings, Inc. (AMRH) CEO Brent Kelton on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,AMRH
year,18
