company,United Community Financial Corp
symbol,UCFC
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255045-united-community-financial-corp-ucfc-ceo-gary-small-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United Community Financial Corp (UCFC) CEO Gary Small on Q1 2019 Results - Earnings Call Transcript</a>"
