company,Science Applications International Corporation
symbol,SAIC
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268755-science-applications-international-corporation-saic-ceo-tony-moraco-q1-2020-results-earnings"" sasource=""earnings-center-transcripts_article"">Science Applications International Corporation (SAIC) CEO Tony Moraco on Q1 2020 Results - Earnings Call Transcript</a>"
