company,"United Continental Holdings, Inc."
symbol,UAL
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255041-united-continental-holdings-inc-ual-ceo-oscar-munoz-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United Continental Holdings, Inc. (UAL) CEO Oscar Munoz on Q1 2019 Results - Earnings Call Transcript</a>"
