company,Merck KGaA
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222359-merck-kgaa-mkgaf-management-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Merck KGaA (MKGAF) Management on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,MKGAF
year,18
