company,EuroDry Ltd.
symbol,EDRY
month,5
day,23
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266415-eurodry-ltd-edry-ceo-aristides-pittas-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">EuroDry Ltd. (EDRY) CEO Aristides Pittas on Q1 2019 Results - Earnings Call Transcript</a>"
