company,"BioHiTech Global, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222321-biohitech-global-inc-bhtg-ceo-frank-celli-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">BioHiTech Global, Inc. (BHTG) CEO Frank Celli on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BHTG
year,18
