company,"Aimia, Inc."
link,"<a class=""dashboard-article-link"" href=""/article/4222985-aimia-inc-gapff-ceo-jeremy-rabe-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Aimia, Inc. (GAPFF) CEO Jeremy Rabe on Q3 2018 Results - Earnings Call Transcript</a>"
symbol,GAPFF
