company,Mobivity Holdings Corp
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222314-mobivity-holdings-corp-mfon-ceo-dennis-becker-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Mobivity Holdings Corp (MFON) CEO Dennis Becker On Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,MFON
year,18
