company,BIO-key's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222579-bio-keys-bkyi-ceo-mike-depasquale-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">BIO-key's (BKYI) CEO Mike DePasquale on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BKYI
year,18
