company,ZTO Express'
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222441-zto-express-zto-ceo-meisong-lai-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ZTO Express' (ZTO) CEO Meisong Lai on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ZTO
year,18
