company,"Sportsman's Warehouse Holdings, Inc."
symbol,SPWH
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267367-sportsmans-warehouse-holdings-inc-spwh-ceo-jon-barker-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Sportsman's Warehouse Holdings, Inc. (SPWH) CEO Jon Barker on Q1 2019 Results - Earnings Call Transcript</a>"
