company,"DocuSign, Inc."
symbol,DOCU
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268927-docusign-inc-docu-ceo-daniel-springer-fiscal-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">DocuSign, Inc. (DOCU) CEO Daniel Springer on Fiscal Q1 2020 Results - Earnings Call Transcript</a>"
