company,Teekay Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222649-teekay-corporation-tk-ceo-kenneth-hvid-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Teekay Corporation (TK) CEO Kenneth Hvid on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,TK
year,18
