company,AVEVA Group Plc
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223552-aveva-group-plc-avevf-ceo-craig-hayman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">AVEVA Group Plc (AVEVF) CEO Craig Hayman on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,AVEVF
year,18
