company,Resideo Technologies
day,13
link,"<a class=""dashboard-article-link"" href=""/article/4222336-resideo-technologies-rezi-ceo-mike-nefkens-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Resideo Technologies (REZI) CEO Mike Nefkens on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,REZI
year,18
