company,Elastic N.V.
symbol,ESTC
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268606-elastic-n-v-estc-ceo-shay-banon-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Elastic N.V. (ESTC) CEO Shay Banon on Q4 2019 Results - Earnings Call Transcript</a>"
