company,"Kingold Jewelry, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222775-kingold-jewelry-inc-kgji-ceo-zhihong-jia-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Kingold Jewelry, Inc. (KGJI) CEO Zhihong Jia on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,KGJI
year,18
