company,"Lands' End, Inc."
symbol,LE
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268212-lands-end-inc-le-ceo-jerome-griffith-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lands' End, Inc. (LE) CEO Jerome Griffith on Q1 2019 Results - Earnings Call Transcript</a>"
