company,"Momo, Inc."
symbol,MOMO
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266867-momo-inc-momo-ceo-tang-yan-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Momo, Inc. (MOMO) CEO Tang Yan on Q1 2019 Results - Earnings Call Transcript</a>"
