company,"HealthEquity, Inc."
symbol,HQY
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268334-healthequity-inc-hqy-ceo-jon-kessler-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">HealthEquity, Inc. (HQY) CEO Jon Kessler on Q1 2020 Results - Earnings Call Transcript</a>"
