company,"Capstone Companies, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222648-capstone-companies-inc-capc-ceo-stewart-wallach-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Capstone Companies, Inc. (CAPC) CEO Stewart Wallach on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,CAPC
year,18
