company,United States Antimony Corp.
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222716-united-states-antimony-corp-uamy-ceo-john-lawrence-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United States Antimony Corp. (UAMY) CEO John Lawrence on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,UAMY
year,18
