company,ESCO Technologies Inc.
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4222698-esco-technologies-inc-ese-ceo-vic-richey-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ESCO Technologies Inc. (ESE) CEO Vic Richey on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,ESE
year,18
