company,TomTom NV
symbol,TMOAF
link,"<a class=""dashboard-article-link"" href=""/article/4254966-tomtom-nv-tmoaf-ceo-harold-goddijn-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">TomTom NV (TMOAF) CEO Harold Goddijn on Q1 2019 Results - Earnings Call Transcript</a>"
