company,"General Mills, Inc."
symbol,GIS
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272265-general-mills-inc-gis-ceo-jeff-harmening-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">General Mills, Inc. (GIS) CEO Jeff Harmening on Q4 2019 Results - Earnings Call Transcript</a>"
