company,Actuant Corporation
symbol,ATU
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272281-actuant-corporation-atu-ceo-randal-baker-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Actuant Corporation (ATU) CEO Randal Baker on Q3 2019 Results - Earnings Call Transcript</a>"
