company,Tufin Software Technologies Ltd.
symbol,TUFN
month,6
day,13
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4270127-tufin-software-technologies-ltd-tufn-ceo-ruvi-kitov-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tufin Software Technologies Ltd. (TUFN) CEO Ruvi Kitov on Q1 2019 Results - Earnings Call Transcript</a>"
