company,Tech Data Corporation's
symbol,TECD
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267303-tech-data-corporations-tecd-ceo-rich-hume-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tech Data Corporation's (TECD) CEO Rich Hume on Q1 2020 Results - Earnings Call Transcript</a>"
