company,The Lovesac Company
symbol,LOVE
month,6
day,10
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269548-lovesac-company-love-ceo-shawn-nelson-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">The Lovesac Company (LOVE) CEO Shawn Nelson on Q1 2020 Results - Earnings Call Transcript</a>"
