company,Compass Group PLC
day,20
link,"<a class=""dashboard-article-link"" href=""/article/4223751-compass-group-plc-cmpgf-ceo-dominic-blakemore-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Compass Group PLC (CMPGF) CEO Dominic Blakemore on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,CMPGF
year,18
