company,"Astea International, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222347-astea-international-inc-atea-ceo-zack-bergreen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Astea International, Inc. (ATEA) CEO Zack Bergreen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ATEA
year,18
