company,21Vianet Group
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4224121-21vianet-group-vnet-ceo-alvin-wang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">21Vianet Group (VNET) CEO Alvin Wang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,VNET
year,18
